[00:00:00.000 - 00:00:01.130] 【说话人1】今天有点。
[00:00:01.130 - 00:00:01.850] 【说话人2】降温，嗯对
[00:00:01.850 - 00:00:03.490] 【说话人3】对对。
[00:00:03.490 - 00:00:08.730] 【说话人4】是的，我看昨天航班都延误了，今天早上还正常，呢今天对今天我们航班还都正常了。
[00:00:09.970 - 00:00:26.800] 【说话人3】行那我介绍一下嗯行唉就是张海潮张总是咱们华北公司的负责人，然后还有嗯郭总啊高总也姓高，对对对高对对负责咱们这个市场的，然后这总和徐总噢噢配置啊对对对。
[00:00:26.800 - 00:00:38.950] 【说话人2】就是刘刘明华刘总对啊是杨总是也是，咱们这五局的项目负责人，对郭总也是他这一起的啊嗯河北国开行国开行嗯。
[00:00:39.190 - 00:00:54.170] 【说话人3】哈哈哈。对，那边是陈总，国外国开行的陈总。噢嗯反正之前因为我们内部也做了一个呃初步的评估，嗯然后这次又请冯总同事过来想拜访一下各位领导，了解一下咱们情况，对。啊
[00:00:54.520 - 00:01:01.570] 【说话人4】我们也是简单的了解一下就因为我们这边是华北分，吧是北京就是工商注册是北京分队，
[00:01:01.570 - 00:01:01.810] 【说话人1】是。
[00:01:01.810 - 00:01:07.610] 【说话人4】是对，对对工商注册是北京分，吧营业执照上是北京phen，以前是用法华北phen的名字吗？还是。
[00:01:07.610 - 00:01:09.530] 【说话人2】原来就在华北。嘛
[00:01:09.590 - 00:01:11.440] 【说话人4】对于区域是在，华北，
[00:01:11.440 - 00:01:12.400] 【说话人2】就是他
[00:01:12.400 - 00:01:16.400] 【说话人1】实际上他原来呢就是说这个单位来北京我们也将近30年了，
[00:01:16.400 - 00:01:17.800] 【说话人4】啊是原来。
[00:01:17.800 - 00:01:23.880] 【说话人1】就是叫北京公司，后来就是局里面统一管控，它就是按部队五大五大，战区嗯嗯。
[00:01:23.880 - 00:01:26.040] 【说话人4】就分的区域来说，每个公司的。
[00:01:26.040 - 00:01:29.360] 【说话人1】名字就是原来北京就是华北，原来上海就是华东对。
[00:01:29.360 - 00:01:29.800] 【说话人4】对
[00:01:29.800 - 00:01:31.320] 【说话人1】对原来就是广州就是。
[00:01:31.320 - 00:01:32.080] 【说话人4】华南。
[00:01:32.080 - 00:01:33.480] 【说话人1】嗯对西南对。
[00:01:33.480 - 00:01:36.520] 【说话人4】对蛮多公司都是按区域在划分，
[00:01:36.520 - 00:01:37.650] 【说话人1】是的，嗯
[00:01:38.060 - 00:01:42.840] 【说话人4】我们公司主要接的项目也是在呃华北这一片吗还是全国各地，
[00:01:42.840 - 00:01:48.560] 【说话人1】呃我们是这样，呃呃呃传统的业务呢像咱们大概暂时有40多个项目，啊
[00:01:48.560 - 00:01:49.120] 【说话人4】对是的，主要。
[00:01:49.120 - 00:02:02.300] 【说话人1】是黄河以北，嗯现在局里边呢这个对新能源还有新能源带产业这种项目是放开的。就是说这些项目呢你可以去别的地方，咱们这边主要项目还是zai，这个
[00:02:02.300 - 00:02:12.370] 【说话人4】还是以自己区域为为重心基本上都是这种放款的。嗯嗯去年的我们经营情况怎么大概产值或者营收是怎么个情况？
[00:02:12.370 - 00:02:27.540] 【说话人1】呃去年大概我们合同额是呃我们报局里边是报了25.6，嗯嗯嗯我们产值大概是13个亿的样子，对啊呃营收也是营收是13，嘛营收11亿啊10亿。
[00:02:27.540 - 00:02:27.900] 【说话人4】11个。
[00:02:27.900 - 00:02:31.660] 【说话人1】亿，今年好一些，今年我们可能有个50个亿。个亿，吧
[00:02:31.660 - 00:02:32.140] 【说话人4】对，
[00:02:32.140 - 00:02:35.540] 【说话人1】现在大概营收30亿了，对，大概是这么个情况，对那。
[00:02:35.540 - 00:02:40.100] 【说话人4】今年就是就是今年有目标吗？应该是已经完成目标了，对
[00:02:40.100 - 00:02:42.940] 【说话人1】对100%，吧咱们这个这个团队。
[00:02:42.940 - 00:02:43.460] 【说话人4】呃是的，
[00:02:43.460 - 00:02:59.970] 【说话人1】这个你五局呢大概一年是现在是这个5,000亿的这个体量，他咱们这种单位他113家，嗯嗯咱们这个三季度运营分析会还是全球排第一的，从这个现金流啊啊收啊人均产值啊就是质量类的这种。
[00:02:59.970 - 00:03:02.040] 【说话人4】管控就是我们公司还是领先的，
[00:03:02.040 - 00:03:03.550] 【说话人1】对华北公司呢还还。
[00:03:05.120 - 00:03:10.050] 【说话人4】我们有别的管控的指标或者什么，比如两金啊什么的，有些好像。
[00:03:10.050 - 00:03:12.170] 【说话人1】呃有两金会下一个预算指标，
[00:03:12.170 - 00:03:13.410] 【说话人4】就是有预算的，有。
[00:03:13.410 - 00:03:14.650] 【说话人1】国资委考核的，跟央企。
[00:03:14.650 - 00:03:23.210] 【说话人4】都有，对就是跟呃我们具体指标还是哪种，啊比如要掌控在百分之多少，还是说较前一年有下降或者怎么的，
[00:03:23.460 - 00:03:24.990] 【说话人1】肯定同比他他会建议。
[00:03:24.990 - 00:03:27.950] 【说话人4】他肯定会提要求，一年又一年这样，对是。
[00:03:27.950 - 00:03:34.870] 【说话人1】的，对。传统的几大指标合同啊营收啊啊对。
[00:03:34.870 - 00:03:37.330] 【说话人4】这个都是标准的指标，啊
[00:03:37.600 - 00:03:38.330] 【说话人1】这些还都是。
[00:03:38.330 - 00:03:50.050] 【说话人5】没有问题的，嗯对。目前就是关于这些指标，咱们这个数量值这个您可以大概给我们讲一下吗？嗯啊这个咱们去年定了多少的指标。
[00:03:50.050 - 00:03:59.590] 【说话人1】去我们是这样，我们就是呃嗯专业的这个分公司，就是咱们这几家合同额基本上都是25，就是每年都是25，签。
[00:03:59.590 - 00:04:00.630] 【说话人4】合同额是25，
[00:04:00.630 - 00:04:04.920] 【说话人1】但是一般都完不成，啊去年就是西南是15，
[00:04:05.120 - 00:04:06.730] 【说话人2】15 14 14:00多。
[00:04:06.730 - 00:04:07.450] 【说话人1】轨交是。
[00:04:07.450 - 00:04:08.810] 【说话人2】15，啊
[00:04:08.810 - 00:04:19.590] 【说话人1】就是我们有现在我们这个有6大分公司，就是按5局安装公司有6大分公司，一般的时候都是完不成，嗯一般的时候都是嗯安装公司能完成，下边的。
[00:04:19.590 - 00:04:20.790] 【说话人4】这些分公司。
[00:04:20.790 - 00:04:37.520] 【说话人1】都完不成，噢噢噢就是领导们的联系什么还是有保证的，这个我们完不成，去年咱们就属于完成了就是所有的分公司里边就咱们完成了，嗯对，然后今年他也不会变，因为市场现在是在下行嗯嗯不会变，基本上就是25左右嗯。
[00:04:37.520 - 00:04:41.400] 【说话人4】就是目标基本不变，但是我们今年是完成的比较好，
[00:04:41.400 - 00:04:56.430] 【说话人1】对我们是我们这个华北公司在5年以前我们订了十四五的规划，就是明年是收收官之年2025，嗯我们是预计是这个华北公司要冲到这个50亿，就相当于提前一年完成了5年的规划，
[00:04:56.430 - 00:04:56.550] 【说话人2】嗯
[00:04:56.550 - 00:04:59.990] 【说话人4】对。嗯嗯我们大概有多少人？
