[00:00:00 - 00:00:11] 【段落-1】今天有点.
[00:00:11 - 00:00:18] 【段落-2】降温，嗯对.
[00:00:18 - 00:00:34] 【段落-3】对对.
[00:00:34 - 00:01:27] 【段落-4】是的，我看昨天航班都延误了，今天早上还正常呢，今天对今天我们航班还都正常了。
[00:01:39 - 00:04:09] 【段落-3】行那我介绍一下，嗯行，唉就是张海潮张总是咱们华北公司的负责人，然后还有嗯郭总啊高总也姓高，对对对高对对负责咱们这个市场的，然后这总和徐总噢噢
[00:04:10 - 00:04:28] 【段落-3】配置啊对对对，
[00:04:28 - 00:06:06] 【段落-2】就是刘刘明华刘总对啊是杨总是也是，咱们这五局的项目负责人对郭总也是他这一起的啊嗯
[00:06:07 - 00:06:29] 【段落-2】河北国开行国开行嗯.
[00:06:31 - 00:06:36] 【段落-3】哈哈哈。
[00:06:39 - 00:07:06] 【段落-3】对，那边是陈总，国外国开行的陈总噢嗯。
[00:07:20 - 00:09:01] 【段落-3】反正之前因为我们内部也做了一个呃初步的评估，嗯然后这次又请冯总同事过来想拜访一下各位领导，了解一下咱们情况，对啊。
[00:09:05 - 00:10:15] 【段落-4】我们也是简单的了解一下就因为我们这边是华北分吧，是北京就是工商注册是北京分队，
[00:10:15 - 00:10:18] 【段落-1】是.
[00:10:18 - 00:11:16] 【段落-4】是对，对对工商注册是北京分吧，营业执照上是北京phen，以前是用法华北phen的名字吗？还是.
[00:11:16 - 00:11:35] 【段落-2】原来就在华北嘛。
[00:11:35 - 00:11:54] 【段落-4】对于区域是在，华北.
[00:11:54 - 00:12:04] 【段落-2】就是他.
[00:12:04 - 00:12:44] 【段落-1】实际上他原来呢就是说这个单位来北京我们也将近30年了，
[00:12:44 - 00:12:58] 【段落-4】啊是原来.
[00:12:58 - 00:13:58] 【段落-1】就是叫北京公司，后来就是局里面统一管控，它就是按部队五大五大，战区嗯嗯.
[00:13:58 - 00:14:06] 【段落-4】就分
[00:14:06 - 00:14:20] 【段落-4】的区域来说，每个公司的.
[00:14:20 - 00:14:53] 【段落-1】名字就是原来北京就是华北，原来上海就是华东，对.
[00:14:53 - 00:14:58] 【段落-4】对.
[00:14:58 - 00:15:13] 【段落-1】对，原来就是广州就是.
[00:15:13 - 00:15:20] 【段落-4】华南，
[00:15:20 - 00:15:34] 【段落-1】嗯对西南对.
[00:15:34 - 00:16:05] 【段落-4】对蛮多公司都是按区域在划分，
[00:16:05 - 00:16:16] 【段落-1】是的嗯。
[00:16:20 - 00:16:50] 【段落-4】我们公司主要接的项目也是在呃
[00:16:53 - 00:17:08] 【段落-4】华北这一片吗？还是全国各地？
[00:17:08 - 00:18:05] 【段落-1】呃我们是这样，呃呃呃传统的业务呢像咱们大概暂时有40多个项目，啊.
[00:18:05 - 00:18:11] 【段落-4】对是的，主要.
[00:18:11 - 00:19:23] 【段落-1】是黄河以北，嗯现在局里边呢这个对新能源还有新能源带产业这种项目是放开的，
[00:19:28 - 00:20:23] 【段落-1】就是说这些项目呢你可以去别的地方，咱们这边主要项目还是zai，这个.
[00:20:23 - 00:21:08] 【段落-4】还是以自己区域为为重心，基本上都是这种放款的嗯嗯。
[00:21:12 - 00:22:03] 【段落-4】去年的我们经营情况怎么大概产值或者营收是怎么个情况？
[00:22:03 - 00:22:39] 【段落-1】呃去年大概我们合同额是
[00:22:41 - 00:24:35] 【段落-1】呃我们报局里边是报了25.6，嗯嗯嗯我们产值大概是13个亿的样子，对啊，呃营收也是营收是13嘛，营收11亿啊10亿.
[00:24:35 - 00:24:39] 【段落-4】11个.
[00:24:39 - 00:25:11] 【段落-1】亿，今年好一些，今年我们可能有个50个亿。
[00:25:13 - 00:25:16] 【段落-1】个亿吧，
[00:25:16 - 00:25:21] 【段落-4】对，
[00:25:21 - 00:25:54] 【段落-1】现在大概营收30亿了，对大概是这么个情况，对。
[00:25:54 - 00:25:55] 【段落-1】那.
[00:25:55 - 00:26:41] 【段落-4】今年就是就是今年有目标吗？应该是已经完成目标了，对.
[00:26:41 - 00:27:09] 【段落-1】对100%吧，咱们这个这个团队.
[00:27:09 - 00:27:14] 【段落-4】呃是的，
[00:27:14 - 00:27:43] 【段落-1】这个你五局呢大概一年是现在是
[00:27:44 - 00:29:59] 【段落-1】这个5,000亿的这个体量，他咱们这种单位他113家，嗯嗯咱们这个三季度运营分析会还是全球排第一的，从这个现金流啊啊收啊人均产值啊就是质量类的这种.
[00:29:59 - 00:30:14] 【段落-4】管控就是我们公司还是
[00:30:15 - 00:30:20] 【段落-4】领先的，
[00:30:20 - 00:30:35] 【段落-1】对华北公司呢还还.
[00:30:51 - 00:31:40] 【段落-4】我们有别的管控的指标或者什么，比如两金啊什么的，有些好像.
[00:31:40 - 00:32:01] 【段落-1】呃有两金会下一个预算指标，
[00:32:01 - 00:32:14] 【段落-4】就是有预算的，有.
[00:32:14 - 00:32:26] 【段落-1】国资委考核的，跟央企.
[00:32:26 - 00:32:48] 【段落-4】都有，对，就是跟呃
[00:32:50 - 00:33:52] 【段落-4】我们具体指标还是哪种啊，比如要掌控在百分之多少，还是说较前一年有下降或者怎么的，
[00:33:54 - 00:34:09] 【段落-1】肯定同比他他会建议.
[00:34:09 - 00:34:39] 【段落-4】他肯定会提要求，一年又一年这样，对是.
[00:34:39 - 00:34:52] 【段落-1】的，对。
[00:35:19 - 00:35:48] 【段落-1】传统的几大指标合同啊营收啊啊对，
[00:35:48 - 00:36:13] 【段落-4】这个都是标准的指标啊，
[00:36:16 - 00:36:23] 【段落-1】这些还都是.
[00:36:23 - 00:36:36] 【段落-5】没有问题的，嗯对。
